method,params,params_train,msg_id,label,p_sigmoid,pred,correct,tp,fp,tn,fn
BERT (768),109483778,109483778,29943,1,0.8978075385093689,1,1,1,0,0,0
BERT (768),109483778,109483778,47453,1,0.9849985241889954,1,1,1,0,0,0
BERT (768),109483778,109483778,11686,0,0.02010500244796276,0,1,0,0,1,0
BERT (768),109483778,109483778,34416,1,0.9827813506126404,1,1,1,0,0,0
BERT (768),109483778,109483778,20398,0,0.026148509234189987,0,1,0,0,1,0
BERT (768),109483778,109483778,43323,1,0.8621153235435486,1,1,1,0,0,0
BERT (768),109483778,109483778,12820,0,0.021899348124861717,0,1,0,0,1,0
BERT (768),109483778,109483778,19719,0,0.05017194524407387,0,1,0,0,1,0
BERT (768),109483778,109483778,13095,0,0.028758589178323746,0,1,0,0,1,0
BERT (768),109483778,109483778,44692,1,0.9691659212112427,1,1,1,0,0,0
BERT (768),109483778,109483778,33016,1,0.9847108721733093,1,1,1,0,0,0
BERT (768),109483778,109483778,4152,0,0.03904758766293526,0,1,0,0,1,0
BERT (768),109483778,109483778,38116,1,0.9852177500724792,1,1,1,0,0,0
BERT (768),109483778,109483778,43181,1,0.9707757234573364,1,1,1,0,0,0
BERT (768),109483778,109483778,39285,1,0.9853355884552002,1,1,1,0,0,0
BERT (768),109483778,109483778,6840,0,0.023118995130062103,0,1,0,0,1,0
BERT (768),109483778,109483778,25793,1,0.9164404273033142,1,1,1,0,0,0
BERT (768),109483778,109483778,118,0,0.02431526966392994,0,1,0,0,1,0
BERT (768),109483778,109483778,46747,1,0.5085196495056152,1,1,1,0,0,0
BERT (768),109483778,109483778,17790,0,0.0540296733379364,0,1,0,0,1,0
BERT (768),109483778,109483778,28091,1,0.9854708909988403,1,1,1,0,0,0
BERT (768),109483778,109483778,3932,0,0.02003011479973793,0,1,0,0,1,0
BERT (768),109483778,109483778,19091,0,0.1523936688899994,0,1,0,0,1,0
BERT (768),109483778,109483778,35831,1,0.9845573902130127,1,1,1,0,0,0
BERT (768),109483778,109483778,10145,0,0.025657357648015022,0,1,0,0,1,0
BERT (768),109483778,109483778,7245,0,0.031155278906226158,0,1,0,0,1,0
BERT (768),109483778,109483778,28493,1,0.9222537279129028,1,1,1,0,0,0
BERT (768),109483778,109483778,5125,0,0.020617391914129257,0,1,0,0,1,0
BERT (768),109483778,109483778,40139,1,0.9846549034118652,1,1,1,0,0,0
BERT (768),109483778,109483778,26600,1,0.9852191209793091,1,1,1,0,0,0
BERT (768),109483778,109483778,20281,0,0.025846485048532486,0,1,0,0,1,0
BERT (768),109483778,109483778,39501,1,0.9846101999282837,1,1,1,0,0,0
