method,params,params_train,msg_id,label,p_sigmoid,pred,correct,tp,fp,tn,fn
BERTft (768),769,769,27194,1,0.9974455833435059,1,1,1,0,0,0
BERTft (768),769,769,3940,0,0.008622209541499615,0,1,0,0,1,0
BERTft (768),769,769,6662,0,0.0030935087706893682,0,1,0,0,1,0
BERTft (768),769,769,9675,0,0.0025230618193745613,0,1,0,0,1,0
BERTft (768),769,769,14354,0,0.002609827322885394,0,1,0,0,1,0
BERTft (768),769,769,28343,1,0.9989237189292908,1,1,1,0,0,0
BERTft (768),769,769,15537,0,0.24259227514266968,0,1,0,0,1,0
BERTft (768),769,769,18177,0,0.005731770768761635,0,1,0,0,1,0
BERTft (768),769,769,17476,0,0.002939206548035145,0,1,0,0,1,0
BERTft (768),769,769,47203,1,0.9982354640960693,1,1,1,0,0,0
BERTft (768),769,769,33485,1,0.9989516735076904,1,1,1,0,0,0
BERTft (768),769,769,9153,0,0.0027557399589568377,0,1,0,0,1,0
BERTft (768),769,769,5918,0,0.006638512015342712,0,1,0,0,1,0
BERTft (768),769,769,15673,0,0.2250533550977707,0,1,0,0,1,0
BERTft (768),769,769,11566,0,0.0025949478149414062,0,1,0,0,1,0
BERTft (768),769,769,32455,1,0.9989458918571472,1,1,1,0,0,0
BERTft (768),769,769,6968,0,0.004860407672822475,0,1,0,0,1,0
BERTft (768),769,769,36073,1,0.998964786529541,1,1,1,0,0,0
BERTft (768),769,769,37289,1,0.9989691972732544,1,1,1,0,0,0
BERTft (768),769,769,33819,1,0.9987986087799072,1,1,1,0,0,0
BERTft (768),769,769,38383,1,0.9989591836929321,1,1,1,0,0,0
BERTft (768),769,769,9024,0,0.0026720059104263783,0,1,0,0,1,0
BERTft (768),769,769,9340,0,0.0025731371715664864,0,1,0,0,1,0
BERTft (768),769,769,12142,0,0.002638260368257761,0,1,0,0,1,0
BERTft (768),769,769,21978,1,0.02718512900173664,0,0,0,0,0,1
BERTft (768),769,769,11310,0,0.0031008508522063494,0,1,0,0,1,0
BERTft (768),769,769,40481,1,0.9986349940299988,1,1,1,0,0,0
BERTft (768),769,769,4988,0,0.0024326653219759464,0,1,0,0,1,0
BERTft (768),769,769,1272,0,0.0026318191085010767,0,1,0,0,1,0
BERTft (768),769,769,34070,1,0.9989144802093506,1,1,1,0,0,0
BERTft (768),769,769,5029,0,0.002474638633430004,0,1,0,0,1,0
BERTft (768),769,769,28091,1,0.9989526271820068,1,1,1,0,0,0
BERTft (768),769,769,15600,0,0.046520404517650604,0,1,0,0,1,0
BERTft (768),769,769,20459,0,0.0030240861233323812,0,1,0,0,1,0
BERTft (768),769,769,6581,0,0.002566725015640259,0,1,0,0,1,0
BERTft (768),769,769,19463,0,0.011809107847511768,0,1,0,0,1,0
