method,params,params_train,msg_id,label,p_sigmoid,pred,correct,tp,fp,tn,fn
BERTpt (768),769,769,37008,1,0.9956876635551453,1,1,1,0,0,0
BERTpt (768),769,769,23709,1,0.9817678332328796,1,1,1,0,0,0
BERTpt (768),769,769,12079,0,0.04814887419342995,0,1,0,0,1,0
BERTpt (768),769,769,5766,0,0.011946742422878742,0,1,0,0,1,0
BERTpt (768),769,769,32160,1,0.9939033389091492,1,1,1,0,0,0
BERTpt (768),769,769,39930,1,0.9999656677246094,1,1,1,0,0,0
BERTpt (768),769,769,42541,1,0.2976103127002716,0,0,0,0,0,1
BERTpt (768),769,769,27897,1,0.9977005124092102,1,1,1,0,0,0
BERTpt (768),769,769,10145,0,0.03236173838376999,0,1,0,0,1,0
BERTpt (768),769,769,25956,1,0.9936310648918152,1,1,1,0,0,0
BERTpt (768),769,769,42650,1,0.9932832717895508,1,1,1,0,0,0
BERTpt (768),769,769,168,0,0.08908582478761673,0,1,0,0,1,0
BERTpt (768),769,769,12439,0,0.0044558062218129635,0,1,0,0,1,0
BERTpt (768),769,769,10609,0,0.02237589843571186,0,1,0,0,1,0
BERTpt (768),769,769,14948,0,0.5042977333068848,1,0,0,1,0,0
BERTpt (768),769,769,41214,1,0.9952907562255859,1,1,1,0,0,0
BERTpt (768),769,769,37212,1,0.6038681864738464,1,1,1,0,0,0
BERTpt (768),769,769,45088,1,0.9892147183418274,1,1,1,0,0,0
BERTpt (768),769,769,38181,1,0.9967209696769714,1,1,1,0,0,0
BERTpt (768),769,769,40600,1,0.6861153244972229,1,1,1,0,0,0
BERTpt (768),769,769,20310,0,0.022922631353139877,0,1,0,0,1,0
BERTpt (768),769,769,9824,0,0.015384066849946976,0,1,0,0,1,0
BERTpt (768),769,769,17901,0,0.053312599658966064,0,1,0,0,1,0
BERTpt (768),769,769,8242,0,0.010176356881856918,0,1,0,0,1,0
BERTpt (768),769,769,26156,1,0.9989286065101624,1,1,1,0,0,0
BERTpt (768),769,769,41161,1,0.9998185038566589,1,1,1,0,0,0
BERTpt (768),769,769,41291,1,0.9965594410896301,1,1,1,0,0,0
BERTpt (768),769,769,27680,1,0.38342535495758057,0,0,0,0,0,1
BERTpt (768),769,769,44869,1,0.9987156391143799,1,1,1,0,0,0
BERTpt (768),769,769,7297,0,0.0038786192890256643,0,1,0,0,1,0
BERTpt (768),769,769,36829,1,0.9873927235603333,1,1,1,0,0,0
BERTpt (768),769,769,11740,0,0.007871674373745918,0,1,0,0,1,0
BERTpt (768),769,769,37838,1,0.9870058298110962,1,1,1,0,0,0
BERTpt (768),769,769,30148,1,0.9835894107818604,1,1,1,0,0,0
BERTpt (768),769,769,3896,0,0.00038263885653577745,0,1,0,0,1,0
BERTpt (768),769,769,7349,0,0.6300453543663025,1,0,0,1,0,0
BERTpt (768),769,769,43181,1,0.4739525318145752,0,0,0,0,0,1
BERTpt (768),769,769,29985,1,0.998847246170044,1,1,1,0,0,0
BERTpt (768),769,769,41104,1,0.956616222858429,1,1,1,0,0,0
BERTpt (768),769,769,5892,0,0.7188522815704346,1,0,0,1,0,0
BERTpt (768),769,769,35870,1,0.9995926022529602,1,1,1,0,0,0
BERTpt (768),769,769,33819,1,0.9957798719406128,1,1,1,0,0,0
BERTpt (768),769,769,41204,1,0.9857766032218933,1,1,1,0,0,0
BERTpt (768),769,769,19023,0,0.05088765174150467,0,1,0,0,1,0
BERTpt (768),769,769,36637,1,0.76809161901474,1,1,1,0,0,0
BERTpt (768),769,769,5533,0,0.20611073076725006,0,1,0,0,1,0
BERTpt (768),769,769,38823,1,0.98777174949646,1,1,1,0,0,0
BERTpt (768),769,769,46874,1,0.9753136038780212,1,1,1,0,0,0
BERTpt (768),769,769,2927,0,0.5985863208770752,1,0,0,1,0,0
BERTpt (768),769,769,16981,0,0.026169851422309875,0,1,0,0,1,0
BERTpt (768),769,769,12308,0,0.017199013382196426,0,1,0,0,1,0
BERTpt (768),769,769,23109,1,0.9004353880882263,1,1,1,0,0,0
BERTpt (768),769,769,3932,0,0.00014982711581978947,0,1,0,0,1,0
BERTpt (768),769,769,14277,0,0.004778003785759211,0,1,0,0,1,0
BERTpt (768),769,769,13071,0,0.0032367955427616835,0,1,0,0,1,0
BERTpt (768),769,769,38228,1,0.9984346032142639,1,1,1,0,0,0
BERTpt (768),769,769,37651,1,0.998087465763092,1,1,1,0,0,0
BERTpt (768),769,769,8249,0,0.0064539434388279915,0,1,0,0,1,0
BERTpt (768),769,769,5384,0,0.0020401349756866693,0,1,0,0,1,0
BERTpt (768),769,769,15090,0,0.04943541809916496,0,1,0,0,1,0
BERTpt (768),769,769,36360,1,0.7671027183532715,1,1,1,0,0,0
BERTpt (768),769,769,9055,0,0.807705819606781,1,0,0,1,0,0
BERTpt (768),769,769,45248,1,0.9970499277114868,1,1,1,0,0,0
BERTpt (768),769,769,18881,0,0.1390257626771927,0,1,0,0,1,0
BERTpt (768),769,769,5117,0,0.0016165637644007802,0,1,0,0,1,0
BERTpt (768),769,769,10016,0,0.09159138798713684,0,1,0,0,1,0
BERTpt (768),769,769,40936,1,0.9794775247573853,1,1,1,0,0,0
BERTpt (768),769,769,38384,1,0.9986175298690796,1,1,1,0,0,0
BERTpt (768),769,769,11741,0,0.12186506390571594,0,1,0,0,1,0
BERTpt (768),769,769,29587,1,0.96152263879776,1,1,1,0,0,0
BERTpt (768),769,769,14407,0,0.009822993539273739,0,1,0,0,1,0
BERTpt (768),769,769,37126,1,0.9989179372787476,1,1,1,0,0,0
BERTpt (768),769,769,11483,0,0.10025496780872345,0,1,0,0,1,0
BERTpt (768),769,769,7758,0,0.0685187429189682,0,1,0,0,1,0
BERTpt (768),769,769,26313,1,0.7412912845611572,1,1,1,0,0,0
BERTpt (768),769,769,3263,0,0.007856662385165691,0,1,0,0,1,0
BERTpt (768),769,769,22541,1,0.9582619667053223,1,1,1,0,0,0
BERTpt (768),769,769,20500,0,0.014879625290632248,0,1,0,0,1,0
BERTpt (768),769,769,5972,0,0.025266271084547043,0,1,0,0,1,0
BERTpt (768),769,769,45363,1,0.9977591037750244,1,1,1,0,0,0
BERTpt (768),769,769,6619,0,0.0034572030417621136,0,1,0,0,1,0
BERTpt (768),769,769,38069,1,0.9992839694023132,1,1,1,0,0,0
BERTpt (768),769,769,10021,0,0.004905508365482092,0,1,0,0,1,0
BERTpt (768),769,769,1208,0,0.0992567241191864,0,1,0,0,1,0
BERTpt (768),769,769,44109,1,0.9645282030105591,1,1,1,0,0,0
BERTpt (768),769,769,10579,0,0.18197095394134521,0,1,0,0,1,0
BERTpt (768),769,769,16859,0,0.003291691653430462,0,1,0,0,1,0
BERTpt (768),769,769,7151,0,0.5718907117843628,1,0,0,1,0,0
BERTpt (768),769,769,41127,1,0.9946720004081726,1,1,1,0,0,0
BERTpt (768),769,769,40182,1,0.9724686741828918,1,1,1,0,0,0
BERTpt (768),769,769,19617,0,0.0016237514792010188,0,1,0,0,1,0
BERTpt (768),769,769,5296,0,0.08929073810577393,0,1,0,0,1,0
BERTpt (768),769,769,19806,0,0.0014378107152879238,0,1,0,0,1,0
BERTpt (768),769,769,41212,1,0.9986802935600281,1,1,1,0,0,0
BERTpt (768),769,769,20012,0,0.6097334623336792,1,0,0,1,0,0
BERTpt (768),769,769,29943,1,0.3788659870624542,0,0,0,0,0,1
BERTpt (768),769,769,18969,0,0.013641325756907463,0,1,0,0,1,0
BERTpt (768),769,769,30636,1,0.9203888177871704,1,1,1,0,0,0
BERTpt (768),769,769,25935,1,0.9447392225265503,1,1,1,0,0,0
BERTpt (768),769,769,47274,1,0.9998906850814819,1,1,1,0,0,0
BERTpt (768),769,769,28672,1,0.9999477863311768,1,1,1,0,0,0
BERTpt (768),769,769,19570,0,0.007396608591079712,0,1,0,0,1,0
BERTpt (768),769,769,8311,0,0.8170456886291504,1,0,0,1,0,0
BERTpt (768),769,769,42892,1,0.9737009406089783,1,1,1,0,0,0
BERTpt (768),769,769,36050,1,0.9486510157585144,1,1,1,0,0,0
BERTpt (768),769,769,23302,1,0.9646150469779968,1,1,1,0,0,0
BERTpt (768),769,769,36972,1,0.979564905166626,1,1,1,0,0,0
BERTpt (768),769,769,20422,0,0.048305071890354156,0,1,0,0,1,0
BERTpt (768),769,769,34209,1,0.9618498682975769,1,1,1,0,0,0
BERTpt (768),769,769,37766,1,0.9420023560523987,1,1,1,0,0,0
BERTpt (768),769,769,18786,0,0.02468160353600979,0,1,0,0,1,0
BERTpt (768),769,769,43716,1,0.9843480587005615,1,1,1,0,0,0
BERTpt (768),769,769,11336,0,0.015405561774969101,0,1,0,0,1,0
BERTpt (768),769,769,10203,0,0.08586238324642181,0,1,0,0,1,0
BERTpt (768),769,769,38949,1,0.9612542390823364,1,1,1,0,0,0
BERTpt (768),769,769,46652,1,0.9681158661842346,1,1,1,0,0,0
BERTpt (768),769,769,47471,1,0.9639929533004761,1,1,1,0,0,0
BERTpt (768),769,769,29550,1,0.9892043471336365,1,1,1,0,0,0
BERTpt (768),769,769,1993,0,0.03854598104953766,0,1,0,0,1,0
BERTpt (768),769,769,33485,1,0.9999716281890869,1,1,1,0,0,0
BERTpt (768),769,769,10282,0,0.0033893936779350042,0,1,0,0,1,0
BERTpt (768),769,769,13331,0,0.1733875572681427,0,1,0,0,1,0
BERTpt (768),769,769,5857,0,0.016565173864364624,0,1,0,0,1,0
BERTpt (768),769,769,40647,1,0.9995716214179993,1,1,1,0,0,0
BERTpt (768),769,769,29565,1,0.995429277420044,1,1,1,0,0,0
BERTpt (768),769,769,36049,1,0.9999572038650513,1,1,1,0,0,0
BERTpt (768),769,769,46714,1,0.9957224130630493,1,1,1,0,0,0
BERTpt (768),769,769,27536,1,0.9998206496238708,1,1,1,0,0,0
BERTpt (768),769,769,30039,1,0.877254068851471,1,1,1,0,0,0
BERTpt (768),769,769,29295,1,0.8817740082740784,1,1,1,0,0,0
BERTpt (768),769,769,30827,1,0.9946222305297852,1,1,1,0,0,0
BERTpt (768),769,769,41223,1,0.9991047978401184,1,1,1,0,0,0
BERTpt (768),769,769,17311,0,0.22355972230434418,0,1,0,0,1,0
BERTpt (768),769,769,21214,1,0.9878892302513123,1,1,1,0,0,0
BERTpt (768),769,769,32680,1,0.719388484954834,1,1,1,0,0,0
BERTpt (768),769,769,12009,0,0.0011341458884999156,0,1,0,0,1,0
BERTpt (768),769,769,21063,1,0.9165218472480774,1,1,1,0,0,0
BERTpt (768),769,769,35676,1,0.9931487441062927,1,1,1,0,0,0
BERTpt (768),769,769,18807,0,0.005690564401447773,0,1,0,0,1,0
BERTpt (768),769,769,40602,1,0.9875768423080444,1,1,1,0,0,0
BERTpt (768),769,769,19984,0,0.03972162306308746,0,1,0,0,1,0
BERTpt (768),769,769,46072,1,0.9988180994987488,1,1,1,0,0,0
BERTpt (768),769,769,36147,1,0.6889140009880066,1,1,1,0,0,0
BERTpt (768),769,769,14374,0,0.007448816671967506,0,1,0,0,1,0
BERTpt (768),769,769,5017,0,0.01617133431136608,0,1,0,0,1,0
BERTpt (768),769,769,19935,0,0.02616610750555992,0,1,0,0,1,0
BERTpt (768),769,769,20977,1,0.9683770537376404,1,1,1,0,0,0
BERTpt (768),769,769,39465,1,0.9724015593528748,1,1,1,0,0,0
BERTpt (768),769,769,2359,0,0.40657711029052734,0,1,0,0,1,0
BERTpt (768),769,769,9301,0,0.012959231622517109,0,1,0,0,1,0
BERTpt (768),769,769,8107,0,0.1554238200187683,0,1,0,0,1,0
BERTpt (768),769,769,38612,1,0.9320297837257385,1,1,1,0,0,0
BERTpt (768),769,769,42524,1,0.8079307675361633,1,1,1,0,0,0
BERTpt (768),769,769,8109,0,0.44609934091567993,0,1,0,0,1,0
BERTpt (768),769,769,39121,1,0.9495238065719604,1,1,1,0,0,0
BERTpt (768),769,769,40154,1,0.9996089339256287,1,1,1,0,0,0
BERTpt (768),769,769,36591,1,0.999289870262146,1,1,1,0,0,0
BERTpt (768),769,769,1479,0,0.003435363294556737,0,1,0,0,1,0
BERTpt (768),769,769,44403,1,0.3337850868701935,0,0,0,0,0,1
BERTpt (768),769,769,31346,1,0.8776502013206482,1,1,1,0,0,0
BERTpt (768),769,769,47033,1,0.3026343882083893,0,0,0,0,0,1
BERTpt (768),769,769,22949,1,0.9148255586624146,1,1,1,0,0,0
BERTpt (768),769,769,3252,0,0.01614706963300705,0,1,0,0,1,0
BERTpt (768),769,769,7450,0,0.19112858176231384,0,1,0,0,1,0
BERTpt (768),769,769,36589,1,0.9938367009162903,1,1,1,0,0,0
BERTpt (768),769,769,40270,1,0.9937453269958496,1,1,1,0,0,0
BERTpt (768),769,769,10560,0,0.00810681376606226,0,1,0,0,1,0
BERTpt (768),769,769,175,0,0.0010331140365451574,0,1,0,0,1,0
BERTpt (768),769,769,2491,0,0.014909045770764351,0,1,0,0,1,0
BERTpt (768),769,769,47099,1,0.9932261109352112,1,1,1,0,0,0
BERTpt (768),769,769,29517,1,0.9996210336685181,1,1,1,0,0,0
BERTpt (768),769,769,32049,1,0.9394941329956055,1,1,1,0,0,0
BERTpt (768),769,769,37263,1,0.08140058815479279,0,0,0,0,0,1
BERTpt (768),769,769,38072,1,0.7705006003379822,1,1,1,0,0,0
BERTpt (768),769,769,36890,1,0.9684367775917053,1,1,1,0,0,0
BERTpt (768),769,769,35466,1,0.9998214840888977,1,1,1,0,0,0
BERTpt (768),769,769,2038,0,0.343997061252594,0,1,0,0,1,0
BERTpt (768),769,769,19793,0,0.27327707409858704,0,1,0,0,1,0
BERTpt (768),769,769,47309,1,0.9999727010726929,1,1,1,0,0,0
BERTpt (768),769,769,19974,0,0.0007811621180735528,0,1,0,0,1,0
BERTpt (768),769,769,25977,1,0.9891427159309387,1,1,1,0,0,0
BERTpt (768),769,769,13553,0,0.01440495066344738,0,1,0,0,1,0
BERTpt (768),769,769,45940,1,0.9919829964637756,1,1,1,0,0,0
BERTpt (768),769,769,24635,1,0.9983128309249878,1,1,1,0,0,0
BERTpt (768),769,769,18139,0,0.014076671563088894,0,1,0,0,1,0
BERTpt (768),769,769,40631,1,0.999808132648468,1,1,1,0,0,0
BERTpt (768),769,769,25913,1,0.9977018237113953,1,1,1,0,0,0
BERTpt (768),769,769,23957,1,0.00725163659080863,0,0,0,0,0,1
BERTpt (768),769,769,11125,0,0.08034561574459076,0,1,0,0,1,0
BERTpt (768),769,769,4244,0,0.12038783729076385,0,1,0,0,1,0
BERTpt (768),769,769,46972,1,0.39460641145706177,0,0,0,0,0,1
BERTpt (768),769,769,9064,0,0.12987683713436127,0,1,0,0,1,0
BERTpt (768),769,769,18996,0,0.1336280107498169,0,1,0,0,1,0
BERTpt (768),769,769,32318,1,0.9952012300491333,1,1,1,0,0,0
BERTpt (768),769,769,38170,1,0.4103904962539673,0,0,0,0,0,1
BERTpt (768),769,769,31387,1,0.9996656179428101,1,1,1,0,0,0
BERTpt (768),769,769,8830,0,0.05681922659277916,0,1,0,0,1,0
BERTpt (768),769,769,46353,1,0.820766806602478,1,1,1,0,0,0
BERTpt (768),769,769,13203,0,0.011315327137708664,0,1,0,0,1,0
BERTpt (768),769,769,45240,1,0.9889194369316101,1,1,1,0,0,0
BERTpt (768),769,769,42413,1,0.847632110118866,1,1,1,0,0,0
BERTpt (768),769,769,30912,1,0.9956385493278503,1,1,1,0,0,0
BERTpt (768),769,769,6006,0,0.03323668986558914,0,1,0,0,1,0
BERTpt (768),769,769,41523,1,0.9769877195358276,1,1,1,0,0,0
BERTpt (768),769,769,41472,1,0.9996606111526489,1,1,1,0,0,0
BERTpt (768),769,769,7683,0,0.1112416461110115,0,1,0,0,1,0
BERTpt (768),769,769,14927,0,0.246663436293602,0,1,0,0,1,0
BERTpt (768),769,769,39645,1,0.9993398785591125,1,1,1,0,0,0
BERTpt (768),769,769,28593,1,0.16692708432674408,0,0,0,0,0,1
BERTpt (768),769,769,40420,1,0.3287245035171509,0,0,0,0,0,1
BERTpt (768),769,769,4448,0,0.021725429221987724,0,1,0,0,1,0
BERTpt (768),769,769,4583,0,0.005002161022275686,0,1,0,0,1,0
BERTpt (768),769,769,5126,0,0.007033451460301876,0,1,0,0,1,0
BERTpt (768),769,769,22737,1,0.8069944977760315,1,1,1,0,0,0
BERTpt (768),769,769,7076,0,0.0004493261512834579,0,1,0,0,1,0
BERTpt (768),769,769,33451,1,0.9708265066146851,1,1,1,0,0,0
BERTpt (768),769,769,47434,1,0.7408400774002075,1,1,1,0,0,0
BERTpt (768),769,769,19713,0,0.06544789671897888,0,1,0,0,1,0
BERTpt (768),769,769,20058,0,0.01969502493739128,0,1,0,0,1,0
BERTpt (768),769,769,42233,1,0.5806403160095215,1,1,1,0,0,0
BERTpt (768),769,769,31167,1,0.8077369332313538,1,1,1,0,0,0
BERTpt (768),769,769,45022,1,0.7755365371704102,1,1,1,0,0,0
BERTpt (768),769,769,9886,0,0.10465814173221588,0,1,0,0,1,0
BERTpt (768),769,769,10744,0,0.00018944228941109031,0,1,0,0,1,0
BERTpt (768),769,769,31450,1,0.9582685232162476,1,1,1,0,0,0
BERTpt (768),769,769,15856,0,0.26958391070365906,0,1,0,0,1,0
BERTpt (768),769,769,34455,1,0.4502973258495331,0,0,0,0,0,1
BERTpt (768),769,769,6668,0,0.001916859531775117,0,1,0,0,1,0
BERTpt (768),769,769,40363,1,0.9994275569915771,1,1,1,0,0,0
BERTpt (768),769,769,20936,1,0.9850674867630005,1,1,1,0,0,0
BERTpt (768),769,769,18097,0,5.818674253532663e-05,0,1,0,0,1,0
BERTpt (768),769,769,36605,1,0.8589805960655212,1,1,1,0,0,0
BERTpt (768),769,769,22535,1,0.46000242233276367,0,0,0,0,0,1
BERTpt (768),769,769,45618,1,0.5616268515586853,1,1,1,0,0,0
BERTpt (768),769,769,38116,1,0.9932809472084045,1,1,1,0,0,0
BERTpt (768),769,769,37983,1,0.9719023704528809,1,1,1,0,0,0
BERTpt (768),769,769,19021,0,0.009244094602763653,0,1,0,0,1,0
BERTpt (768),769,769,15082,0,0.05741158127784729,0,1,0,0,1,0
BERTpt (768),769,769,16680,0,0.8527395725250244,1,0,0,1,0,0
BERTpt (768),769,769,23151,1,0.9271705746650696,1,1,1,0,0,0
BERTpt (768),769,769,18651,0,0.6073946356773376,1,0,0,1,0,0
BERTpt (768),769,769,33040,1,0.9998173117637634,1,1,1,0,0,0
BERTpt (768),769,769,13414,0,0.3059764802455902,0,1,0,0,1,0
BERTpt (768),769,769,36051,1,0.9984024167060852,1,1,1,0,0,0
BERTpt (768),769,769,11041,0,0.07578465342521667,0,1,0,0,1,0
BERTpt (768),769,769,41119,1,0.9354616403579712,1,1,1,0,0,0
BERTpt (768),769,769,44969,1,0.9997773766517639,1,1,1,0,0,0
BERTpt (768),769,769,24196,1,0.715699315071106,1,1,1,0,0,0
BERTpt (768),769,769,41116,1,0.894943118095398,1,1,1,0,0,0
BERTpt (768),769,769,1780,0,0.004685343708842993,0,1,0,0,1,0
BERTpt (768),769,769,38984,1,0.9988604784011841,1,1,1,0,0,0
BERTpt (768),769,769,6520,0,0.009929131716489792,0,1,0,0,1,0
BERTpt (768),769,769,36015,1,0.985609233379364,1,1,1,0,0,0
BERTpt (768),769,769,38077,1,0.9802857637405396,1,1,1,0,0,0
BERTpt (768),769,769,10103,0,0.33880797028541565,0,1,0,0,1,0
BERTpt (768),769,769,40037,1,0.9976230263710022,1,1,1,0,0,0
BERTpt (768),769,769,42366,1,0.9504699110984802,1,1,1,0,0,0
BERTpt (768),769,769,9453,0,0.01910015195608139,0,1,0,0,1,0
BERTpt (768),769,769,6581,0,0.004567340482026339,0,1,0,0,1,0
BERTpt (768),769,769,23382,1,0.9860903024673462,1,1,1,0,0,0
BERTpt (768),769,769,8408,0,0.0011698673479259014,0,1,0,0,1,0
BERTpt (768),769,769,10491,0,0.006531132385134697,0,1,0,0,1,0
BERTpt (768),769,769,18877,0,0.0018457877449691296,0,1,0,0,1,0
BERTpt (768),769,769,21532,1,0.9913619160652161,1,1,1,0,0,0
