method,params,params_train,msg_id,label,p_sigmoid,pred,correct,tp,fp,tn,fn
custom (300),301,301,36589,1,0.985779881477356,1,1,1,0,0,0
custom (300),301,301,26324,1,0.8120462894439697,1,1,1,0,0,0
custom (300),301,301,4337,0,0.26420772075653076,0,1,0,0,1,0
custom (300),301,301,20131,0,0.0009600281482562423,0,1,0,0,1,0
custom (300),301,301,42817,1,0.9956812858581543,1,1,1,0,0,0
custom (300),301,301,18236,0,0.0024337314534932375,0,1,0,0,1,0
custom (300),301,301,42413,1,0.3410458266735077,0,0,0,0,0,1
custom (300),301,301,13340,0,0.03414743393659592,0,1,0,0,1,0
custom (300),301,301,11306,0,0.0026148403994739056,0,1,0,0,1,0
custom (300),301,301,24550,1,0.9999282360076904,1,1,1,0,0,0
custom (300),301,301,20449,0,0.39119860529899597,0,1,0,0,1,0
custom (300),301,301,31538,1,0.9997029900550842,1,1,1,0,0,0
custom (300),301,301,13809,0,1.1095388799731154e-05,0,1,0,0,1,0
custom (300),301,301,35739,1,0.999471127986908,1,1,1,0,0,0
custom (300),301,301,29994,1,0.9997571110725403,1,1,1,0,0,0
custom (300),301,301,13794,0,0.6731411814689636,1,0,0,1,0,0
custom (300),301,301,11232,0,0.001565051032230258,0,1,0,0,1,0
custom (300),301,301,33485,1,0.9999991655349731,1,1,1,0,0,0
custom (300),301,301,21846,1,0.9838904738426208,1,1,1,0,0,0
custom (300),301,301,22682,1,0.9989553689956665,1,1,1,0,0,0
custom (300),301,301,5857,0,0.0005017839721404016,0,1,0,0,1,0
custom (300),301,301,15405,0,0.0017102404963225126,0,1,0,0,1,0
custom (300),301,301,39187,1,0.7508331537246704,1,1,1,0,0,0
custom (300),301,301,41523,1,0.9979242086410522,1,1,1,0,0,0
custom (300),301,301,46711,1,0.9717525243759155,1,1,1,0,0,0
custom (300),301,301,18034,0,0.0007056772010400891,0,1,0,0,1,0
custom (300),301,301,12660,0,0.0032524866983294487,0,1,0,0,1,0
custom (300),301,301,8311,0,0.016891244798898697,0,1,0,0,1,0
custom (300),301,301,9301,0,0.0007643579156138003,0,1,0,0,1,0
custom (300),301,301,19756,0,0.0012474509421736002,0,1,0,0,1,0
custom (300),301,301,26600,1,0.9999717473983765,1,1,1,0,0,0
custom (300),301,301,11741,0,0.00036937984987162054,0,1,0,0,1,0
custom (300),301,301,4188,0,0.13854755461215973,0,1,0,0,1,0
custom (300),301,301,46401,1,0.996099591255188,1,1,1,0,0,0
custom (300),301,301,8107,0,0.00687065627425909,0,1,0,0,1,0
custom (300),301,301,22306,1,0.1535160392522812,0,0,0,0,0,1
custom (300),301,301,3215,0,0.09488243609666824,0,1,0,0,1,0
custom (300),301,301,13158,0,0.002105380641296506,0,1,0,0,1,0
custom (300),301,301,8242,0,0.00019651402544695884,0,1,0,0,1,0
custom (300),301,301,29550,1,0.9825301766395569,1,1,1,0,0,0
custom (300),301,301,10548,0,0.04520200565457344,0,1,0,0,1,0
custom (300),301,301,14681,0,0.0001492245792178437,0,1,0,0,1,0
custom (300),301,301,37441,1,0.9999783039093018,1,1,1,0,0,0
custom (300),301,301,17514,0,0.00017327445675618947,0,1,0,0,1,0
custom (300),301,301,8827,0,0.008663060143589973,0,1,0,0,1,0
custom (300),301,301,10759,0,2.7874137231265195e-05,0,1,0,0,1,0
custom (300),301,301,15537,0,0.264782577753067,0,1,0,0,1,0
custom (300),301,301,19096,0,0.011996369808912277,0,1,0,0,1,0
custom (300),301,301,30824,1,0.6971083283424377,1,1,1,0,0,0
custom (300),301,301,39201,1,0.9996548891067505,1,1,1,0,0,0
custom (300),301,301,923,0,0.02695765160024166,0,1,0,0,1,0
custom (300),301,301,44289,1,0.9919336438179016,1,1,1,0,0,0
custom (300),301,301,40602,1,0.9253839254379272,1,1,1,0,0,0
custom (300),301,301,17925,0,3.3663949579931796e-05,0,1,0,0,1,0
custom (300),301,301,34635,1,0.7608059048652649,1,1,1,0,0,0
custom (300),301,301,9510,0,0.033024147152900696,0,1,0,0,1,0
custom (300),301,301,1959,0,0.0024098779540508986,0,1,0,0,1,0
custom (300),301,301,29974,1,0.9944861531257629,1,1,1,0,0,0
custom (300),301,301,47169,1,0.9849393367767334,1,1,1,0,0,0
custom (300),301,301,3316,0,0.004026356153190136,0,1,0,0,1,0
custom (300),301,301,16214,0,4.033880784959365e-09,0,1,0,0,1,0
custom (300),301,301,19935,0,0.13754357397556305,0,1,0,0,1,0
custom (300),301,301,31265,1,0.5126466751098633,1,1,1,0,0,0
custom (300),301,301,11624,0,0.0009092261898331344,0,1,0,0,1,0
custom (300),301,301,14220,0,0.0033076906111091375,0,1,0,0,1,0
custom (300),301,301,30989,1,0.9660581946372986,1,1,1,0,0,0
custom (300),301,301,19949,0,0.6339690685272217,1,0,0,1,0,0
custom (300),301,301,7636,0,0.0002858109655790031,0,1,0,0,1,0
custom (300),301,301,1944,0,0.12299991399049759,0,1,0,0,1,0
custom (300),301,301,11464,0,0.0026483586989343166,0,1,0,0,1,0
custom (300),301,301,44438,1,0.9985597729682922,1,1,1,0,0,0
custom (300),301,301,30833,1,0.9999635219573975,1,1,1,0,0,0
custom (300),301,301,21085,1,0.9993351101875305,1,1,1,0,0,0
custom (300),301,301,7400,0,4.7887206164887175e-05,0,1,0,0,1,0
custom (300),301,301,30756,1,0.9894184470176697,1,1,1,0,0,0
custom (300),301,301,8511,0,0.00018883508164435625,0,1,0,0,1,0
custom (300),301,301,7151,0,0.06858863681554794,0,1,0,0,1,0
custom (300),301,301,13414,0,0.0037738713435828686,0,1,0,0,1,0
custom (300),301,301,1417,0,0.010169806890189648,0,1,0,0,1,0
custom (300),301,301,4017,0,9.201477223541588e-05,0,1,0,0,1,0
custom (300),301,301,9409,0,0.0005154076498001814,0,1,0,0,1,0
custom (300),301,301,24179,1,0.9956099390983582,1,1,1,0,0,0
custom (300),301,301,34064,1,0.9168875813484192,1,1,1,0,0,0
custom (300),301,301,3455,0,0.007018305826932192,0,1,0,0,1,0
custom (300),301,301,9586,0,0.0003892461536452174,0,1,0,0,1,0
custom (300),301,301,10412,0,1.4609592653869186e-05,0,1,0,0,1,0
custom (300),301,301,39911,1,0.9957728981971741,1,1,1,0,0,0
custom (300),301,301,72,0,0.9999080896377563,1,0,0,1,0,0
custom (300),301,301,21153,1,0.9884097576141357,1,1,1,0,0,0
custom (300),301,301,7881,0,0.0007831570110283792,0,1,0,0,1,0
custom (300),301,301,9475,0,3.509988891892135e-05,0,1,0,0,1,0
custom (300),301,301,27194,1,0.9968961477279663,1,1,1,0,0,0
custom (300),301,301,11790,0,0.007200933061540127,0,1,0,0,1,0
custom (300),301,301,17910,0,0.9598286747932434,1,0,0,1,0,0
custom (300),301,301,36606,1,0.9905077219009399,1,1,1,0,0,0
custom (300),301,301,46701,1,0.24073664844036102,0,0,0,0,0,1
custom (300),301,301,29282,1,0.9999970197677612,1,1,1,0,0,0
custom (300),301,301,38077,1,0.9565106630325317,1,1,1,0,0,0
custom (300),301,301,16680,0,0.536042332649231,1,0,0,1,0,0
custom (300),301,301,1176,0,0.003493637079373002,0,1,0,0,1,0
custom (300),301,301,31346,1,0.9247217774391174,1,1,1,0,0,0
custom (300),301,301,897,0,0.00010558793292148039,0,1,0,0,1,0
custom (300),301,301,36665,1,0.9873424768447876,1,1,1,0,0,0
custom (300),301,301,8421,0,0.09485644102096558,0,1,0,0,1,0
custom (300),301,301,2439,0,0.0010113577591255307,0,1,0,0,1,0
custom (300),301,301,37373,1,0.9571851491928101,1,1,1,0,0,0
custom (300),301,301,6168,0,0.0512324795126915,0,1,0,0,1,0
custom (300),301,301,660,0,0.31992220878601074,0,1,0,0,1,0
custom (300),301,301,4619,0,0.2914386987686157,0,1,0,0,1,0
custom (300),301,301,29462,1,0.9998156428337097,1,1,1,0,0,0
custom (300),301,301,24250,1,0.9999595880508423,1,1,1,0,0,0
custom (300),301,301,1794,0,0.0030295399483293295,0,1,0,0,1,0
custom (300),301,301,33424,1,0.9989145994186401,1,1,1,0,0,0
custom (300),301,301,43276,1,0.9975143671035767,1,1,1,0,0,0
custom (300),301,301,22677,1,0.9010738134384155,1,1,1,0,0,0
custom (300),301,301,46460,1,0.9955561757087708,1,1,1,0,0,0
custom (300),301,301,20012,0,0.12356635928153992,0,1,0,0,1,0
custom (300),301,301,23299,1,0.9972353577613831,1,1,1,0,0,0
custom (300),301,301,36339,1,0.9352483153343201,1,1,1,0,0,0
custom (300),301,301,848,0,0.14822575449943542,0,1,0,0,1,0
custom (300),301,301,24658,1,0.9910833835601807,1,1,1,0,0,0
custom (300),301,301,10221,0,0.0020322923082858324,0,1,0,0,1,0
custom (300),301,301,45966,1,0.9964191913604736,1,1,1,0,0,0
custom (300),301,301,10491,0,0.003085338743403554,0,1,0,0,1,0
custom (300),301,301,36591,1,0.9999005794525146,1,1,1,0,0,0
custom (300),301,301,46574,1,0.9998940229415894,1,1,1,0,0,0
custom (300),301,301,6849,0,0.016326867043972015,0,1,0,0,1,0
custom (300),301,301,34200,1,0.9988283514976501,1,1,1,0,0,0
custom (300),301,301,33451,1,0.9983437061309814,1,1,1,0,0,0
custom (300),301,301,2280,0,0.0006344866706058383,0,1,0,0,1,0
custom (300),301,301,41070,1,0.9999442100524902,1,1,1,0,0,0
custom (300),301,301,2559,0,0.00013998615031596273,0,1,0,0,1,0
custom (300),301,301,5944,0,0.11712054163217545,0,1,0,0,1,0
custom (300),301,301,31932,1,0.7865532636642456,1,1,1,0,0,0
custom (300),301,301,9082,0,0.00019407154468353838,0,1,0,0,1,0
custom (300),301,301,38181,1,0.9972436428070068,1,1,1,0,0,0
custom (300),301,301,8803,0,0.22582651674747467,0,1,0,0,1,0
custom (300),301,301,27498,1,0.9830347299575806,1,1,1,0,0,0
custom (300),301,301,7101,0,2.433653389743995e-05,0,1,0,0,1,0
custom (300),301,301,41388,1,0.999575674533844,1,1,1,0,0,0
custom (300),301,301,1238,0,0.008964651264250278,0,1,0,0,1,0
custom (300),301,301,21409,1,0.7961063385009766,1,1,1,0,0,0
custom (300),301,301,47540,1,0.9004507064819336,1,1,1,0,0,0
custom (300),301,301,37124,1,0.9077911972999573,1,1,1,0,0,0
custom (300),301,301,46353,1,0.8157904744148254,1,1,1,0,0,0
custom (300),301,301,30636,1,0.947973906993866,1,1,1,0,0,0
custom (300),301,301,6968,0,0.004170351196080446,0,1,0,0,1,0
custom (300),301,301,25992,1,0.9952322840690613,1,1,1,0,0,0
custom (300),301,301,47099,1,0.9966539144515991,1,1,1,0,0,0
custom (300),301,301,38553,1,0.9994636178016663,1,1,1,0,0,0
custom (300),301,301,825,0,0.020007358863949776,0,1,0,0,1,0
custom (300),301,301,43755,1,0.9999009370803833,1,1,1,0,0,0
custom (300),301,301,18195,0,0.2503824830055237,0,1,0,0,1,0
custom (300),301,301,4791,0,0.000291962904157117,0,1,0,0,1,0
custom (300),301,301,42442,1,0.9961491823196411,1,1,1,0,0,0
custom (300),301,301,8621,0,0.0012099520536139607,0,1,0,0,1,0
custom (300),301,301,30424,1,0.927653968334198,1,1,1,0,0,0
custom (300),301,301,4000,0,0.02572748437523842,0,1,0,0,1,0
custom (300),301,301,13164,0,0.11394062638282776,0,1,0,0,1,0
custom (300),301,301,4865,0,0.0007777242572046816,0,1,0,0,1,0
custom (300),301,301,39930,1,0.999934196472168,1,1,1,0,0,0
custom (300),301,301,20232,0,0.2098492532968521,0,1,0,0,1,0
custom (300),301,301,43414,1,0.8974624276161194,1,1,1,0,0,0
custom (300),301,301,34999,1,0.9897706508636475,1,1,1,0,0,0
custom (300),301,301,12449,0,1.606069054105319e-05,0,1,0,0,1,0
custom (300),301,301,34495,1,0.20388291776180267,0,0,0,0,0,1
custom (300),301,301,15318,0,0.4067876935005188,0,1,0,0,1,0
custom (300),301,301,12633,0,0.002700449200347066,0,1,0,0,1,0
custom (300),301,301,5863,0,0.009166174568235874,0,1,0,0,1,0
custom (300),301,301,41236,1,0.9976310729980469,1,1,1,0,0,0
custom (300),301,301,4023,0,0.00016880511248018593,0,1,0,0,1,0
custom (300),301,301,5079,0,0.05471992492675781,0,1,0,0,1,0
custom (300),301,301,20486,0,0.00047328576329164207,0,1,0,0,1,0
custom (300),301,301,22783,1,0.9662933349609375,1,1,1,0,0,0
custom (300),301,301,16981,0,0.1021275445818901,0,1,0,0,1,0
custom (300),301,301,43093,1,0.978752613067627,1,1,1,0,0,0
custom (300),301,301,8820,0,0.0007928756531327963,0,1,0,0,1,0
custom (300),301,301,33858,1,0.9994285702705383,1,1,1,0,0,0
custom (300),301,301,44216,1,0.9969454407691956,1,1,1,0,0,0
custom (300),301,301,5406,0,0.005207715090364218,0,1,0,0,1,0
custom (300),301,301,28397,1,0.9891334176063538,1,1,1,0,0,0
custom (300),301,301,14269,0,0.00011030771565856412,0,1,0,0,1,0
custom (300),301,301,3890,0,0.05892297253012657,0,1,0,0,1,0
custom (300),301,301,38149,1,0.9865625500679016,1,1,1,0,0,0
custom (300),301,301,21532,1,0.8469746708869934,1,1,1,0,0,0
custom (300),301,301,41465,1,0.7941386699676514,1,1,1,0,0,0
custom (300),301,301,981,0,0.0016924402443692088,0,1,0,0,1,0
custom (300),301,301,36969,1,0.989773690700531,1,1,1,0,0,0
custom (300),301,301,9893,0,0.21552617847919464,0,1,0,0,1,0
custom (300),301,301,6596,0,0.010258895345032215,0,1,0,0,1,0
custom (300),301,301,32842,1,0.9869137406349182,1,1,1,0,0,0
custom (300),301,301,4328,0,0.13013099133968353,0,1,0,0,1,0
custom (300),301,301,38920,1,0.9970874190330505,1,1,1,0,0,0
custom (300),301,301,32156,1,0.9990339279174805,1,1,1,0,0,0
custom (300),301,301,3263,0,0.0023421761579811573,0,1,0,0,1,0
custom (300),301,301,44720,1,0.999674916267395,1,1,1,0,0,0
custom (300),301,301,34457,1,0.9888123273849487,1,1,1,0,0,0
custom (300),301,301,33292,1,0.9071979522705078,1,1,1,0,0,0
custom (300),301,301,22400,1,0.9899090528488159,1,1,1,0,0,0
custom (300),301,301,20304,0,0.8443657159805298,1,0,0,1,0,0
custom (300),301,301,39460,1,0.9998202919960022,1,1,1,0,0,0
custom (300),301,301,6599,0,0.04574236273765564,0,1,0,0,1,0
custom (300),301,301,44557,1,0.9939561486244202,1,1,1,0,0,0
custom (300),301,301,1208,0,0.020541727542877197,0,1,0,0,1,0
custom (300),301,301,23151,1,0.9396228790283203,1,1,1,0,0,0
custom (300),301,301,41204,1,0.9995015859603882,1,1,1,0,0,0
custom (300),301,301,37744,1,0.9939576387405396,1,1,1,0,0,0
custom (300),301,301,43342,1,0.9998761415481567,1,1,1,0,0,0
custom (300),301,301,42888,1,0.9759649634361267,1,1,1,0,0,0
custom (300),301,301,6581,0,0.00029577460372820497,0,1,0,0,1,0
custom (300),301,301,5382,0,0.00048442615661770105,0,1,0,0,1,0
custom (300),301,301,9797,0,0.001689455471932888,0,1,0,0,1,0
custom (300),301,301,39382,1,0.9999376535415649,1,1,1,0,0,0
custom (300),301,301,21377,1,0.9750615954399109,1,1,1,0,0,0
custom (300),301,301,37049,1,0.9965839385986328,1,1,1,0,0,0
custom (300),301,301,9886,0,0.000674956536386162,0,1,0,0,1,0
custom (300),301,301,7060,0,0.0021960092708468437,0,1,0,0,1,0
custom (300),301,301,45220,1,0.8422242999076843,1,1,1,0,0,0
custom (300),301,301,34132,1,0.9615926146507263,1,1,1,0,0,0
custom (300),301,301,44381,1,0.973704993724823,1,1,1,0,0,0
custom (300),301,301,26009,1,0.9943386912345886,1,1,1,0,0,0
custom (300),301,301,3352,0,0.006789931561797857,0,1,0,0,1,0
custom (300),301,301,8176,0,0.45686769485473633,0,1,0,0,1,0
custom (300),301,301,7975,0,0.061234354972839355,0,1,0,0,1,0
custom (300),301,301,35373,1,0.9518828988075256,1,1,1,0,0,0
custom (300),301,301,23240,1,0.9916514754295349,1,1,1,0,0,0
custom (300),301,301,9676,0,0.016669314354658127,0,1,0,0,1,0
custom (300),301,301,47059,1,0.9996159076690674,1,1,1,0,0,0
custom (300),301,301,2167,0,0.0004869578988291323,0,1,0,0,1,0
custom (300),301,301,19696,0,0.11685812473297119,0,1,0,0,1,0
custom (300),301,301,37382,1,0.9856343865394592,1,1,1,0,0,0
