method,params,params_train,msg_id,label,p_sigmoid,pred,correct,tp,fp,tn,fn
custom (768),769,769,8351,0,0.009990033693611622,0,1,0,0,1,0
custom (768),769,769,24419,1,0.6951149106025696,1,1,1,0,0,0
custom (768),769,769,2467,0,0.039343565702438354,0,1,0,0,1,0
custom (768),769,769,27047,1,0.7534428238868713,1,1,1,0,0,0
custom (768),769,769,21885,1,0.7665697336196899,1,1,1,0,0,0
custom (768),769,769,47229,1,0.9858846068382263,1,1,1,0,0,0
custom (768),769,769,9824,0,0.03254316374659538,0,1,0,0,1,0
custom (768),769,769,12091,0,0.062377750873565674,0,1,0,0,1,0
custom (768),769,769,41573,1,0.9056860208511353,1,1,1,0,0,0
custom (768),769,769,27417,1,0.9658849239349365,1,1,1,0,0,0
custom (768),769,769,46731,1,0.9716808199882507,1,1,1,0,0,0
custom (768),769,769,43342,1,0.989604115486145,1,1,1,0,0,0
custom (768),769,769,7524,0,0.010927330702543259,0,1,0,0,1,0
custom (768),769,769,37049,1,0.9432914853096008,1,1,1,0,0,0
custom (768),769,769,2079,0,0.16342073678970337,0,1,0,0,1,0
custom (768),769,769,5568,0,0.06131821870803833,0,1,0,0,1,0
custom (768),769,769,7772,0,0.4317241907119751,0,1,0,0,1,0
custom (768),769,769,6105,0,0.0397510901093483,0,1,0,0,1,0
custom (768),769,769,12863,0,0.08552338182926178,0,1,0,0,1,0
custom (768),769,769,21829,1,0.9872480034828186,1,1,1,0,0,0
custom (768),769,769,1993,0,0.5637190341949463,1,0,0,1,0,0
custom (768),769,769,30832,1,0.9590463638305664,1,1,1,0,0,0
custom (768),769,769,21738,1,0.7074939608573914,1,1,1,0,0,0
custom (768),769,769,10789,0,0.017613554373383522,0,1,0,0,1,0
custom (768),769,769,11459,0,0.051670510321855545,0,1,0,0,1,0
custom (768),769,769,34070,1,0.9566200375556946,1,1,1,0,0,0
custom (768),769,769,5079,0,0.1153789609670639,0,1,0,0,1,0
custom (768),769,769,46435,1,0.940375030040741,1,1,1,0,0,0
custom (768),769,769,3304,0,0.017593877390027046,0,1,0,0,1,0
custom (768),769,769,13312,0,0.016116825863718987,0,1,0,0,1,0
custom (768),769,769,20769,0,0.36432039737701416,0,1,0,0,1,0
custom (768),769,769,29295,1,0.9685010313987732,1,1,1,0,0,0
custom (768),769,769,26579,1,0.6739906668663025,1,1,1,0,0,0
custom (768),769,769,9123,0,0.6657204031944275,1,0,0,1,0,0
custom (768),769,769,26600,1,0.9714734554290771,1,1,1,0,0,0
custom (768),769,769,33505,1,0.40183761715888977,0,0,0,0,0,1
custom (768),769,769,26923,1,0.9596186280250549,1,1,1,0,0,0
custom (768),769,769,18229,0,0.8076323866844177,1,0,0,1,0,0
custom (768),769,769,22682,1,0.9781765341758728,1,1,1,0,0,0
custom (768),769,769,30756,1,0.9201635122299194,1,1,1,0,0,0
custom (768),769,769,34635,1,0.7059859037399292,1,1,1,0,0,0
custom (768),769,769,41236,1,0.9661756157875061,1,1,1,0,0,0
custom (768),769,769,44381,1,0.8676557540893555,1,1,1,0,0,0
custom (768),769,769,26324,1,0.8295047879219055,1,1,1,0,0,0
custom (768),769,769,868,0,0.4079534411430359,0,1,0,0,1,0
custom (768),769,769,13573,0,0.3545858561992645,0,1,0,0,1,0
custom (768),769,769,17058,0,0.05684720352292061,0,1,0,0,1,0
custom (768),769,769,20341,0,0.03278748691082001,0,1,0,0,1,0
custom (768),769,769,21846,1,0.8663865327835083,1,1,1,0,0,0
custom (768),769,769,19200,0,0.623153567314148,1,0,0,1,0,0
custom (768),769,769,38591,1,0.9130308628082275,1,1,1,0,0,0
custom (768),769,769,3316,0,0.057540182024240494,0,1,0,0,1,0
custom (768),769,769,17311,0,0.12532202899456024,0,1,0,0,1,0
custom (768),769,769,20500,0,0.30140089988708496,0,1,0,0,1,0
custom (768),769,769,1238,0,0.14801469445228577,0,1,0,0,1,0
custom (768),769,769,19227,0,0.030712367966771126,0,1,0,0,1,0
custom (768),769,769,12449,0,0.0019742401782423258,0,1,0,0,1,0
custom (768),769,769,39528,1,0.8160150647163391,1,1,1,0,0,0
custom (768),769,769,28700,1,0.9631898403167725,1,1,1,0,0,0
custom (768),769,769,10550,0,0.62720787525177,1,0,0,1,0,0
custom (768),769,769,10280,0,0.001370813581161201,0,1,0,0,1,0
custom (768),769,769,19974,0,0.01263107918202877,0,1,0,0,1,0
custom (768),769,769,20442,0,0.02743232063949108,0,1,0,0,1,0
