method,params,params_train,msg_id,label,p_sigmoid,pred,correct,tp,fp,tn,fn
one-hot (768),769,769,32578,1,0.9996100068092346,1,1,1,0,0,0
one-hot (768),769,769,26132,1,0.9999873638153076,1,1,1,0,0,0
one-hot (768),769,769,33590,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,28493,1,0.9917994737625122,1,1,1,0,0,0
one-hot (768),769,769,10312,0,1.401566428856754e-20,0,1,0,0,1,0
one-hot (768),769,769,6114,0,4.0665367123438045e-05,0,1,0,0,1,0
one-hot (768),769,769,40075,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,43414,1,0.9955568909645081,1,1,1,0,0,0
one-hot (768),769,769,36360,1,0.1847825050354004,0,0,0,0,0,1
one-hot (768),769,769,14337,0,9.509754095304856e-10,0,1,0,0,1,0
one-hot (768),769,769,26313,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,34457,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,34832,1,0.0173572339117527,0,0,0,0,0,1
one-hot (768),769,769,6739,0,0.9982489347457886,1,0,0,1,0,0
one-hot (768),769,769,46393,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,23107,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,13305,0,8.880262089548384e-21,0,1,0,0,1,0
one-hot (768),769,769,10837,0,7.871194367601929e-37,0,1,0,0,1,0
one-hot (768),769,769,45797,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,17509,0,1.1003192202558614e-22,0,1,0,0,1,0
one-hot (768),769,769,8873,0,6.928055356340946e-19,0,1,0,0,1,0
one-hot (768),769,769,21573,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,16276,0,1.2850097164118779e-06,0,1,0,0,1,0
one-hot (768),769,769,32237,1,0.9999945163726807,1,1,1,0,0,0
one-hot (768),769,769,6915,0,5.863238632672699e-14,0,1,0,0,1,0
one-hot (768),769,769,19719,0,0.9957857728004456,1,0,0,1,0,0
one-hot (768),769,769,33761,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,39477,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,4188,0,0.000439281458966434,0,1,0,0,1,0
one-hot (768),769,769,38860,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,8503,0,7.648694755331585e-29,0,1,0,0,1,0
one-hot (768),769,769,31167,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,14742,0,0.0,0,1,0,0,1,0
one-hot (768),769,769,24904,1,0.9999998807907104,1,1,1,0,0,0
one-hot (768),769,769,21115,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,25335,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,124,0,1.1528392129811493e-10,0,1,0,0,1,0
one-hot (768),769,769,17572,0,1.5852697288210038e-06,0,1,0,0,1,0
one-hot (768),769,769,22568,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,33543,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,11007,0,1.1711628100153672e-15,0,1,0,0,1,0
one-hot (768),769,769,10451,0,4.81276650476925e-11,0,1,0,0,1,0
one-hot (768),769,769,8428,0,0.23600390553474426,0,1,0,0,1,0
one-hot (768),769,769,8232,0,4.709414636039355e-09,0,1,0,0,1,0
one-hot (768),769,769,12079,0,5.059003274452019e-16,0,1,0,0,1,0
one-hot (768),769,769,4244,0,2.2585844025321525e-17,0,1,0,0,1,0
one-hot (768),769,769,39821,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,37479,1,0.9999990463256836,1,1,1,0,0,0
one-hot (768),769,769,31477,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,7037,0,5.832891877516378e-20,0,1,0,0,1,0
one-hot (768),769,769,22938,1,0.9999923706054688,1,1,1,0,0,0
one-hot (768),769,769,34333,1,1.0,1,1,1,0,0,0
one-hot (768),769,769,20863,1,0.9999440908432007,1,1,1,0,0,0
one-hot (768),769,769,47540,1,0.9999949932098389,1,1,1,0,0,0
one-hot (768),769,769,12688,0,3.236297345665662e-07,0,1,0,0,1,0
one-hot (768),769,769,21063,1,1.0,1,1,1,0,0,0
