method,params,params_train,msg_id,label,p_sigmoid,pred,correct,tp,fp,tn,fn
word2vec (300),301,301,20769,0,0.44860875606536865,0,1,0,0,1,0
word2vec (300),301,301,11187,0,0.5374854803085327,1,0,0,1,0,0
word2vec (300),301,301,18221,0,0.40188029408454895,0,1,0,0,1,0
word2vec (300),301,301,32319,1,0.9842005372047424,1,1,1,0,0,0
word2vec (300),301,301,14216,0,0.0375034473836422,0,1,0,0,1,0
word2vec (300),301,301,33569,1,0.8996345400810242,1,1,1,0,0,0
word2vec (300),301,301,19091,0,0.7311544418334961,1,0,0,1,0,0
word2vec (300),301,301,10759,0,0.002210882492363453,0,1,0,0,1,0
word2vec (300),301,301,31449,1,0.9256738424301147,1,1,1,0,0,0
word2vec (300),301,301,44112,1,0.9999567270278931,1,1,1,0,0,0
word2vec (300),301,301,19200,0,0.738315761089325,1,0,0,1,0,0
word2vec (300),301,301,34384,1,0.5880540013313293,1,1,1,0,0,0
word2vec (300),301,301,46574,1,0.9835959672927856,1,1,1,0,0,0
word2vec (300),301,301,20818,1,0.5613778829574585,1,1,1,0,0,0
word2vec (300),301,301,38702,1,0.8613322973251343,1,1,1,0,0,0
word2vec (300),301,301,19467,0,0.31117013096809387,0,1,0,0,1,0
word2vec (300),301,301,15090,0,0.3467845320701599,0,1,0,0,1,0
word2vec (300),301,301,19331,0,0.331466406583786,0,1,0,0,1,0
word2vec (300),301,301,39187,1,0.701895534992218,1,1,1,0,0,0
word2vec (300),301,301,23796,1,0.8729413747787476,1,1,1,0,0,0
word2vec (300),301,301,32163,1,0.38089093565940857,0,0,0,0,0,1
word2vec (300),301,301,9848,0,0.07704690098762512,0,1,0,0,1,0
word2vec (300),301,301,22541,1,0.979546844959259,1,1,1,0,0,0
word2vec (300),301,301,9632,0,0.005498909391462803,0,1,0,0,1,0
word2vec (300),301,301,27670,1,0.7931160926818848,1,1,1,0,0,0
word2vec (300),301,301,12575,0,0.06520397216081619,0,1,0,0,1,0
word2vec (300),301,301,734,0,0.7500761151313782,1,0,0,1,0,0
word2vec (300),301,301,37415,1,0.9915348291397095,1,1,1,0,0,0
word2vec (300),301,301,36360,1,0.8008555769920349,1,1,1,0,0,0
word2vec (300),301,301,30832,1,0.8529112339019775,1,1,1,0,0,0
word2vec (300),301,301,7008,0,0.0010391823016107082,0,1,0,0,1,0
word2vec (300),301,301,22652,1,0.4417869448661804,0,0,0,0,0,1
word2vec (300),301,301,33040,1,0.971822202205658,1,1,1,0,0,0
word2vec (300),301,301,24983,1,0.9740559458732605,1,1,1,0,0,0
word2vec (300),301,301,47052,1,0.6004900336265564,1,1,1,0,0,0
word2vec (300),301,301,24419,1,0.2514991760253906,0,0,0,0,0,1
word2vec (300),301,301,16981,0,0.4234893321990967,0,1,0,0,1,0
word2vec (300),301,301,28259,1,0.7884204983711243,1,1,1,0,0,0
word2vec (300),301,301,43478,1,0.9712334275245667,1,1,1,0,0,0
word2vec (300),301,301,15822,0,0.06492550671100616,0,1,0,0,1,0
word2vec (300),301,301,31538,1,0.999967098236084,1,1,1,0,0,0
word2vec (300),301,301,21846,1,0.5341079831123352,1,1,1,0,0,0
word2vec (300),301,301,10837,0,0.005131714511662722,0,1,0,0,1,0
word2vec (300),301,301,38630,1,0.8391452431678772,1,1,1,0,0,0
word2vec (300),301,301,30965,1,0.7231283783912659,1,1,1,0,0,0
word2vec (300),301,301,9148,0,0.7013512253761292,1,0,0,1,0,0
word2vec (300),301,301,35386,1,0.6999122500419617,1,1,1,0,0,0
word2vec (300),301,301,29943,1,0.6269282698631287,1,1,1,0,0,0
word2vec (300),301,301,11388,0,0.5939822196960449,1,0,0,1,0,0
word2vec (300),301,301,25992,1,0.9999608993530273,1,1,1,0,0,0
word2vec (300),301,301,22306,1,0.4639571011066437,0,0,0,0,0,1
word2vec (300),301,301,14374,0,0.07969368249177933,0,1,0,0,1,0
word2vec (300),301,301,41168,1,0.9724613428115845,1,1,1,0,0,0
word2vec (300),301,301,30540,1,0.9253252148628235,1,1,1,0,0,0
word2vec (300),301,301,33574,1,0.7706378698348999,1,1,1,0,0,0
word2vec (300),301,301,17474,0,0.07502042502164841,0,1,0,0,1,0
word2vec (300),301,301,12651,0,0.069466732442379,0,1,0,0,1,0
word2vec (300),301,301,10492,0,0.3693183958530426,0,1,0,0,1,0
word2vec (300),301,301,47125,1,0.991080105304718,1,1,1,0,0,0
word2vec (300),301,301,47540,1,0.899705171585083,1,1,1,0,0,0
word2vec (300),301,301,72,0,0.743503212928772,1,0,0,1,0,0
word2vec (300),301,301,16276,0,0.24409984052181244,0,1,0,0,1,0
word2vec (300),301,301,39836,1,0.8812403678894043,1,1,1,0,0,0
word2vec (300),301,301,7595,0,0.1825716346502304,0,1,0,0,1,0
word2vec (300),301,301,41291,1,0.9786787629127502,1,1,1,0,0,0
word2vec (300),301,301,13143,0,0.00899290107190609,0,1,0,0,1,0
word2vec (300),301,301,26579,1,0.9095331430435181,1,1,1,0,0,0
word2vec (300),301,301,37760,1,0.9955064058303833,1,1,1,0,0,0
word2vec (300),301,301,8507,0,0.06247500702738762,0,1,0,0,1,0
word2vec (300),301,301,8147,0,0.23017479479312897,0,1,0,0,1,0
word2vec (300),301,301,30963,1,0.8240423798561096,1,1,1,0,0,0
word2vec (300),301,301,41361,1,0.9992334842681885,1,1,1,0,0,0
word2vec (300),301,301,7687,0,0.0032899726647883654,0,1,0,0,1,0
word2vec (300),301,301,40222,1,0.9833978414535522,1,1,1,0,0,0
word2vec (300),301,301,41524,1,0.22982218861579895,0,0,0,0,0,1
word2vec (300),301,301,36457,1,0.59221351146698,1,1,1,0,0,0
word2vec (300),301,301,44547,1,0.9833579659461975,1,1,1,0,0,0
word2vec (300),301,301,6748,0,0.07626885920763016,0,1,0,0,1,0
word2vec (300),301,301,19215,0,0.05597719922661781,0,1,0,0,1,0
word2vec (300),301,301,4474,0,0.35015562176704407,0,1,0,0,1,0
word2vec (300),301,301,32393,1,0.9897488951683044,1,1,1,0,0,0
word2vec (300),301,301,4023,0,0.0368722602725029,0,1,0,0,1,0
