method,params,params_train,msg_id,label,p_sigmoid,pred,correct,tp,fp,tn,fn
word2vec (300),301,301,27194,1,0.9997718930244446,1,1,1,0,0,0
word2vec (300),301,301,3940,0,0.10562190413475037,0,1,0,0,1,0
word2vec (300),301,301,6662,0,0.10335418581962585,0,1,0,0,1,0
word2vec (300),301,301,9675,0,2.6065086785820313e-05,0,1,0,0,1,0
word2vec (300),301,301,14354,0,0.0010985641274601221,0,1,0,0,1,0
word2vec (300),301,301,28343,1,0.9971261620521545,1,1,1,0,0,0
word2vec (300),301,301,15537,0,0.3592199683189392,0,1,0,0,1,0
word2vec (300),301,301,18177,0,0.664089560508728,1,0,0,1,0,0
word2vec (300),301,301,17476,0,0.0005538880359381437,0,1,0,0,1,0
word2vec (300),301,301,47203,1,0.9992160797119141,1,1,1,0,0,0
word2vec (300),301,301,33485,1,0.939009964466095,1,1,1,0,0,0
word2vec (300),301,301,9153,0,1.6408503142884e-05,0,1,0,0,1,0
word2vec (300),301,301,5918,0,0.016794007271528244,0,1,0,0,1,0
word2vec (300),301,301,15673,0,0.07591606676578522,0,1,0,0,1,0
word2vec (300),301,301,11566,0,0.004506347235292196,0,1,0,0,1,0
word2vec (300),301,301,32455,1,0.9897482991218567,1,1,1,0,0,0
word2vec (300),301,301,6968,0,0.1609417349100113,0,1,0,0,1,0
word2vec (300),301,301,36073,1,0.8985769748687744,1,1,1,0,0,0
word2vec (300),301,301,37289,1,0.999925971031189,1,1,1,0,0,0
word2vec (300),301,301,33819,1,0.9957375526428223,1,1,1,0,0,0
word2vec (300),301,301,38383,1,0.9993743300437927,1,1,1,0,0,0
word2vec (300),301,301,9024,0,0.0015765385469421744,0,1,0,0,1,0
word2vec (300),301,301,9340,0,5.121895082993433e-05,0,1,0,0,1,0
word2vec (300),301,301,12142,0,0.0028724856674671173,0,1,0,0,1,0
word2vec (300),301,301,21978,1,0.1781730204820633,0,0,0,0,0,1
word2vec (300),301,301,11310,0,0.027039460837841034,0,1,0,0,1,0
word2vec (300),301,301,40481,1,0.6266478300094604,1,1,1,0,0,0
word2vec (300),301,301,4988,0,0.0608951635658741,0,1,0,0,1,0
word2vec (300),301,301,1272,0,0.014070193283259869,0,1,0,0,1,0
word2vec (300),301,301,34070,1,0.8914223313331604,1,1,1,0,0,0
word2vec (300),301,301,5029,0,0.001051919418387115,0,1,0,0,1,0
word2vec (300),301,301,28091,1,0.8626242280006409,1,1,1,0,0,0
word2vec (300),301,301,15600,0,0.16345472633838654,0,1,0,0,1,0
word2vec (300),301,301,20459,0,3.519560038967029e-07,0,1,0,0,1,0
word2vec (300),301,301,6581,0,9.816563988351845e-07,0,1,0,0,1,0
word2vec (300),301,301,19463,0,0.0036117739509791136,0,1,0,0,1,0
word2vec (300),301,301,11033,0,0.0013464507646858692,0,1,0,0,1,0
word2vec (300),301,301,11007,0,0.1330385059118271,0,1,0,0,1,0
word2vec (300),301,301,31135,1,0.9998394250869751,1,1,1,0,0,0
word2vec (300),301,301,39937,1,0.9993798732757568,1,1,1,0,0,0
word2vec (300),301,301,14197,0,0.02564227767288685,0,1,0,0,1,0
word2vec (300),301,301,14893,0,3.108501186943613e-05,0,1,0,0,1,0
word2vec (300),301,301,14793,0,2.4045144527917728e-05,0,1,0,0,1,0
word2vec (300),301,301,34333,1,1.0,1,1,1,0,0,0
word2vec (300),301,301,29943,1,0.8570000529289246,1,1,1,0,0,0
word2vec (300),301,301,20304,0,0.7322395443916321,1,0,0,1,0,0
word2vec (300),301,301,47125,1,0.9997585415840149,1,1,1,0,0,0
word2vec (300),301,301,1406,0,0.02631186880171299,0,1,0,0,1,0
word2vec (300),301,301,41465,1,0.9660820364952087,1,1,1,0,0,0
word2vec (300),301,301,5629,0,0.23340797424316406,0,1,0,0,1,0
word2vec (300),301,301,19686,0,0.005983514245599508,0,1,0,0,1,0
word2vec (300),301,301,10016,0,0.07511262595653534,0,1,0,0,1,0
word2vec (300),301,301,44783,1,0.8869065046310425,1,1,1,0,0,0
word2vec (300),301,301,20955,1,0.9991866946220398,1,1,1,0,0,0
word2vec (300),301,301,10550,0,0.8902527689933777,1,0,0,1,0,0
word2vec (300),301,301,9125,0,2.273668178531807e-05,0,1,0,0,1,0
word2vec (300),301,301,2491,0,0.3181799054145813,0,1,0,0,1,0
word2vec (300),301,301,37714,1,0.9695655107498169,1,1,1,0,0,0
word2vec (300),301,301,34084,1,0.9988849759101868,1,1,1,0,0,0
word2vec (300),301,301,7549,0,0.00035167118767276406,0,1,0,0,1,0
word2vec (300),301,301,10203,0,0.11647487431764603,0,1,0,0,1,0
word2vec (300),301,301,11065,0,0.7909964919090271,1,0,0,1,0,0
word2vec (300),301,301,20636,0,0.005264112260192633,0,1,0,0,1,0
word2vec (300),301,301,72,0,0.9699140191078186,1,0,0,1,0,0
word2vec (300),301,301,19972,0,0.07370956987142563,0,1,0,0,1,0
word2vec (300),301,301,36829,1,0.9897456169128418,1,1,1,0,0,0
word2vec (300),301,301,10280,0,2.4372000552830286e-05,0,1,0,0,1,0
word2vec (300),301,301,42484,1,0.9998137354850769,1,1,1,0,0,0
word2vec (300),301,301,18123,0,0.43691176176071167,0,1,0,0,1,0
word2vec (300),301,301,17474,0,0.0034424408804625273,0,1,0,0,1,0
word2vec (300),301,301,28684,1,0.9929525256156921,1,1,1,0,0,0
word2vec (300),301,301,35537,1,0.9998328685760498,1,1,1,0,0,0
word2vec (300),301,301,21518,1,0.43778684735298157,0,0,0,0,0,1
word2vec (300),301,301,43912,1,0.9781685471534729,1,1,1,0,0,0
word2vec (300),301,301,39246,1,0.8686487674713135,1,1,1,0,0,0
word2vec (300),301,301,46701,1,0.2892967164516449,0,0,0,0,0,1
word2vec (300),301,301,9044,0,1.957246098527321e-07,0,1,0,0,1,0
word2vec (300),301,301,42522,1,0.5385617613792419,1,1,1,0,0,0
word2vec (300),301,301,5701,0,0.01663527823984623,0,1,0,0,1,0
word2vec (300),301,301,45088,1,0.9488553404808044,1,1,1,0,0,0
word2vec (300),301,301,34237,1,0.9999836683273315,1,1,1,0,0,0
word2vec (300),301,301,36297,1,0.16289837658405304,0,0,0,0,0,1
